# ----------------------------------------,,
# Desktop,,
# Top Conversion Paths,,
# 20140601-20150121,,
# ----------------------------------------,,
,,
MCF Channel Grouping Path,Conversions,Conversion Value
Direct > Email > Direct > Direct,"1,715","$170,320.49 "
Paid Search > Email > Email,"1,682","$151,618.63 "
Direct > Direct > Paid Search > Direct > Direct,"1,680","$175,609.14 "
Display (impression) > Organic Search,"1,672","$119,405.79 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"1,636","$181,059.12 "
Direct > (unavailable),"1,625","$153,666.00 "
Direct > Direct > Direct > Display,"1,617","$158,678.01 "
Paid Search > Referral > Paid Search,"1,607","$153,529.44 "
Direct > Direct > Direct > Email,"1,606","$160,271.81 "
Paid Search > Paid Search > Display > Paid Search,"1,598","$158,604.99 "
Direct > Direct > Other Advertising > Direct,"1,595","$173,383.18 "
Paid Search > Direct > Direct > Direct > Direct > Direct > Direct,"1,582","$193,863.07 "
Paid Search > Paid Search > Direct > Paid Search > Paid Search,"1,576","$166,946.21 "
Organic Search > Organic Search > Paid Search,"1,573","$139,244.66 "
Paid Search > Paid Search > Organic Search > Direct,"1,552","$154,244.00 "
Direct > Direct > Direct > Paid Search > Direct,"1,542","$160,163.83 "
Email > Email > Direct > Email,"1,541","$149,400.93 "
Other Advertising > Direct > Direct > Direct,"1,508","$166,813.08 "
Email > Email > Paid Search,"1,507","$126,321.97 "
Email > Paid Search > Direct,"1,507","$144,096.44 "
Direct > Direct > Organic Search > Direct,"1,504","$146,485.10 "
Direct > Direct > Email > Direct,"1,498","$146,853.35 "
Paid Search > Direct > Paid Search > Paid Search > Paid Search,"1,482","$148,797.90 "
Paid Search > Other Advertising > Other Advertising > Other Advertising,"1,482","$146,265.05 "
Other Advertising > Paid Search > Other Advertising,"1,474","$132,402.03 "
Paid Search > Organic Search > Paid Search > Organic Search,"1,460","$135,589.33 "
Referral > Referral,"1,454","$140,069.85 "
Email > Direct > Email > Direct,"1,453","$144,104.58 "
Referral > Direct > Direct,"1,422","$138,926.14 "
Paid Search > Direct > Direct > Other Advertising,"1,408","$143,794.58 "
Direct > Direct > Paid Search > Paid Search,"1,406","$133,632.38 "
Paid Search > Paid Search > Paid Search > Display,"1,399","$112,334.53 "
Email > Direct > Email > Email,"1,390","$122,343.03 "
Direct > Direct > Direct > Direct > Direct > Other Advertising,"1,386","$151,581.07 "
Direct > Direct > Direct > Direct > Paid Search,"1,386","$137,111.06 "
Paid Search > Email > Paid Search,"1,380","$127,570.92 "
Paid Search > Paid Search > Paid Search > Referral,"1,379","$139,787.81 "
Email > Direct > Direct > Direct > Direct,"1,359","$144,777.87 "
Paid Search > Direct > Email,"1,336","$125,606.60 "
Paid Search > Paid Search > Other Advertising > Other Advertising,"1,318","$121,572.60 "
Other Advertising > Other Advertising > Other Advertising > Other Advertising,"1,312","$125,047.44 "
Direct > Display > Display,"1,309","$115,863.87 "
(unavailable) > Other Advertising,"1,305","$106,807.31 "
Direct > Organic Search > Paid Search,"1,302","$120,203.44 "
Organic Search > Paid Search > Direct > Direct,"1,297","$134,205.89 "
Paid Search > Display > Paid Search > Paid Search,"1,293","$121,961.76 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct,"1,288","$136,348.53 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"1,285","$131,362.69 "
(unavailable) > (unavailable),"1,277","$97,597.06 "
Email > Direct > Other Advertising,"1,248","$125,005.83 "
Organic Search > Paid Search > Other Advertising,"1,245","$117,571.65 "
Display (impression) > Paid Search > Paid Search,"1,242","$96,742.13 "
Direct > Direct > Direct > Display > Direct,"1,224","$121,003.42 "
Paid Search > Organic Search > Paid Search > Direct,"1,223","$125,095.95 "
Paid Search > Direct > Paid Search > Direct > Direct,"1,218","$141,103.74 "
Organic Search > Organic Search > Other Advertising,"1,215","$118,615.75 "
Organic Search > Other Advertising > Organic Search,"1,215","$108,024.12 "
Organic Search > Organic Search > Organic Search > Direct,"1,210","$121,030.33 "
Email > Direct > Paid Search,"1,209","$119,301.89 "
Referral > Other Advertising,"1,203","$108,151.98 "
Direct > Paid Search > Direct > Direct > Direct > Direct,"1,199","$127,968.27 "
Email > Display > Email,"1,189","$106,753.64 "
Direct > Direct > Display > Direct > Direct,"1,185","$121,619.99 "
Direct > Display > Direct > Direct > Direct,"1,182","$110,970.99 "
Direct > Direct > Direct > Direct > Referral,"1,173","$129,730.56 "
Direct > Paid Search > Direct > Paid Search,"1,171","$113,795.08 "
Organic Search > Other Advertising > Direct,"1,164","$114,308.72 "
Paid Search > Paid Search > Direct > Direct > Direct > Direct,"1,161","$131,257.17 "
Email > Direct > Direct > Email,"1,161","$118,111.30 "
Paid Search > Other Advertising > Paid Search > Other Advertising,"1,136","$110,524.50 "
Display (impression) > Display (impression) > Display (impression) > Paid Search,"1,121","$82,886.51 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"1,112","$121,513.43 "
Organic Search > Direct > Organic Search > Direct,"1,109","$114,152.39 "
Other Advertising > Display,"1,098","$92,517.57 "
Direct > Referral > Direct > Direct,"1,089","$120,304.98 "
Direct > Organic Search > Direct > Direct > Direct,"1,082","$115,025.50 "
Display > Paid Search > Paid Search,"1,081","$90,982.26 "
Email > Direct > Referral,"1,074","$115,125.63 "
Organic Search > Direct > Direct > Direct > Direct > Direct > Direct,"1,062","$134,699.76 "
Organic Search > Direct > Referral,"1,049","$121,343.76 "
Paid Search > Paid Search > Paid Search > Paid Search > Organic Search,"1,045","$94,439.69 "
Organic Search > Organic Search > Organic Search > Organic Search,"1,044","$94,022.04 "
Organic Search > Direct > Direct > Other Advertising,"1,043","$110,174.81 "
(unavailable) > Organic Search,"1,035","$87,795.19 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,"1,024","$91,515.51 "
Referral > Organic Search,"1,021","$85,440.69 "
Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,"1,010","$130,951.07 "
Paid Search > Referral > Direct,"1,006","$100,126.85 "
Direct > Direct > Referral > Direct,"1,003","$102,767.89 "
Email > Email > Other Advertising,993,"$88,154.65 "
Organic Search > Paid Search > Organic Search > Paid Search,988,"$87,713.86 "
Paid Search > Paid Search > Direct > Other Advertising,986,"$96,511.73 "
Paid Search > Paid Search > Direct > Paid Search > Direct,974,"$107,155.68 "
Paid Search > Direct > Direct > Organic Search,965,"$108,956.60 "
Direct > Direct > Paid Search > Direct > Direct > Direct,957,"$97,714.54 "
Email > Email > Referral,952,"$89,649.19 "
Display > Display > Display,952,"$74,140.17 "
Display > Email,939,"$88,007.76 "
Display > Direct > Direct > Direct,938,"$95,087.30 "
Paid Search > Direct > Direct > Direct > Paid Search,937,"$115,799.55 "
Paid Search > Display > Direct > Direct,935,"$99,501.02 "
Paid Search > Paid Search > Direct > Direct > Paid Search,933,"$103,431.46 "
Organic Search > Paid Search > Paid Search > Direct,933,"$97,663.38 "
Paid Search > Direct > Direct > Paid Search > Direct,926,"$120,086.41 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,916,"$92,830.00 "
Email > Email > Email > Email > Direct,908,"$88,762.90 "
Direct > Direct > Direct > Direct > Organic Search,907,"$95,763.15 "
Organic Search > Direct > Direct > Organic Search,907,"$91,035.54 "
Direct > Organic Search > Organic Search,904,"$82,245.90 "
Direct > Other Advertising > Referral,904,"$98,786.82 "
Direct > Paid Search > Paid Search > Paid Search > Paid Search,889,"$79,653.57 "
Direct > Other Advertising > Direct > Other Advertising,887,"$90,970.02 "
Paid Search > Paid Search > Direct > Organic Search,885,"$96,898.83 "
Email > Other Advertising > Other Advertising,882,"$86,967.94 "
Organic Search > Organic Search > Direct > Direct > Direct,874,"$96,773.37 "
Direct > Paid Search > Referral,868,"$91,588.63 "
Paid Search > Direct > Display > Direct,863,"$87,090.84 "
Direct > Direct > Direct > Direct > Display,863,"$78,329.35 "
Organic Search > Paid Search > Paid Search > Paid Search > Paid Search,863,"$81,439.46 "
Display > Other Advertising,862,"$72,111.80 "
Paid Search > Paid Search > Paid Search > Organic Search > Paid Search,861,"$89,678.39 "
Paid Search > Direct > Paid Search > Paid Search > Direct,854,"$95,643.90 "
Other Advertising > Email,852,"$72,868.69 "
Paid Search > Direct > Organic Search > Direct,848,"$89,052.32 "
Paid Search > Display > Display > Display,840,"$67,407.13 "
Paid Search > Organic Search > Paid Search > Paid Search > Paid Search,839,"$85,079.72 "
Display > Display > Direct,832,"$77,810.01 "
Direct > Direct > Direct > Paid Search > Direct > Direct,831,"$88,757.05 "
Paid Search > Direct > Other Advertising > Other Advertising,828,"$83,143.02 "
Organic Search > Other Advertising > Other Advertising > Other Advertising,823,"$72,987.88 "
Direct > Email > Direct > Direct > Direct,821,"$81,146.44 "
Direct > Direct > Direct > Other Advertising > Other Advertising,820,"$82,873.41 "
Paid Search > Paid Search > Other Advertising > Paid Search,819,"$71,382.49 "
Direct > Direct > Direct > Direct > Paid Search > Direct,817,"$82,489.06 "
Direct > Email > Direct > Email,816,"$71,018.47 "
Paid Search > Organic Search > Referral,815,"$80,494.43 "
(unavailable) > Direct > Direct,812,"$86,194.29 "
Display (impression) > Display (impression) > Display (impression) > Direct,810,"$60,063.61 "
Display > Organic Search,806,"$69,843.34 "
Direct > Direct > Direct > Direct > Direct > Direct > Other Advertising,799,"$112,659.00 "
Direct > Other Advertising > Paid Search,799,"$74,665.04 "
Paid Search > Paid Search > Display > Direct,798,"$79,872.78 "
Organic Search > Display > Organic Search,797,"$72,553.13 "
Paid Search > Paid Search > Organic Search > Paid Search > Paid Search,793,"$72,031.02 "
Organic Search > Display > Direct,792,"$71,673.35 "
Paid Search > Organic Search > Direct > Direct > Direct,790,"$97,597.75 "
Paid Search > (unavailable) > Paid Search,787,"$73,850.65 "
Paid Search > Organic Search > Direct > Paid Search,784,"$80,257.79 "
Paid Search > Paid Search > Paid Search > Paid Search > Direct > Direct,782,"$85,946.76 "
Email > Email > Email > Email > Email > Email,778,"$63,518.00 "
Organic Search > Paid Search > Organic Search > Direct,778,"$77,190.27 "
Paid Search > Other Advertising > Organic Search,776,"$65,762.83 "
Direct > Other Advertising > Direct > Direct > Direct,774,"$88,073.31 "
Other Advertising > Organic Search > Other Advertising,771,"$74,993.73 "
Paid Search > Direct > Paid Search > Organic Search,768,"$84,865.52 "
Organic Search > Paid Search > Paid Search > Organic Search,768,"$71,485.57 "
Direct > Display > Display > Direct,765,"$68,758.01 "
Paid Search > Paid Search > Display > Display,764,"$65,646.35 "
Paid Search > Paid Search > Paid Search > Paid Search > Direct > Paid Search,760,"$76,829.54 "
Display (impression) > Paid Search > Direct,754,"$65,289.37 "
Organic Search > (unavailable),753,"$62,184.76 "
Paid Search > Paid Search > Paid Search > Paid Search > Other Advertising,747,"$67,674.78 "
Paid Search > Organic Search > Display,747,"$70,858.62 "
Direct > Direct > Direct > Direct > Email,743,"$76,455.77 "
Paid Search > Direct > Direct > Paid Search > Paid Search,742,"$74,166.49 "
Direct > Direct > Organic Search > Direct > Direct,742,"$81,183.55 "
Direct > Display > Paid Search,742,"$66,687.20 "
Paid Search > Paid Search > Paid Search > Direct > Direct > Direct,739,"$83,203.91 "
Organic Search > Organic Search > Direct > Organic Search,737,"$65,825.04 "
Paid Search > Display > Display > Paid Search,736,"$65,531.71 "
Direct > Direct > Direct > Direct > Direct > Paid Search,735,"$72,324.80 "
Organic Search > Direct > Direct > Paid Search,731,"$79,764.72 "
Paid Search > Paid Search > Organic Search > Other Advertising,729,"$71,525.04 "
Paid Search > Other Advertising > Direct > Direct,729,"$74,966.20 "
Direct > Direct > Direct > Direct > Display > Direct,725,"$68,090.34 "
Paid Search > Direct > Direct > Referral,724,"$82,968.58 "
Direct > Direct > Email > Direct > Direct,724,"$72,182.26 "
Other Advertising > Paid Search > Paid Search,721,"$63,319.48 "
Direct > Paid Search > Display,717,"$69,559.91 "
Direct > Email > Email > Email,714,"$63,501.27 "
Direct > Direct > Direct > Other Advertising > Direct,713,"$75,892.91 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,712,"$72,056.20 "
Direct > Direct > Direct > Email > Direct,710,"$69,702.54 "
Direct > Paid Search > Paid Search > Direct > Direct,710,"$65,006.59 "
Direct > Email > Email > Direct,708,"$65,742.81 "
Email > Direct > Direct > Direct > Direct > Direct,701,"$76,726.94 "
Email > Display > Direct,700,"$63,142.52 "
Paid Search > Other Advertising > Referral,693,"$66,484.18 "
Direct > Direct > Display > Direct > Direct > Direct,693,"$74,303.13 "
Direct > Paid Search > Direct > Direct > Direct > Direct > Direct,685,"$78,200.73 "
Email > Email > Display,685,"$55,290.32 "
Email > Paid Search > Paid Search > Paid Search,685,"$61,796.21 "
Direct > Other Advertising > Organic Search,681,"$63,479.94 "
Direct > Direct > Direct > Display > Direct > Direct,678,"$64,677.00 "
Other Advertising > Direct > Direct > Other Advertising,678,"$76,290.74 "
Paid Search > Paid Search > Paid Search > Direct > Paid Search > Paid Search,675,"$68,671.97 "
Direct > Direct > Other Advertising > Direct > Direct,673,"$81,105.76 "
Other Advertising > Direct > Other Advertising > Other Advertising,665,"$65,523.08 "
Email > Email > Email > Direct > Email,663,"$61,589.94 "
Paid Search > Paid Search > Direct > Paid Search > Paid Search > Paid Search,662,"$70,188.05 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,662,"$60,023.25 "
Direct > Paid Search > Email,658,"$62,063.66 "
Referral > Direct > Direct > Direct,655,"$71,566.08 "
Organic Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct,651,"$78,980.44 "
Paid Search > Paid Search > (unavailable),648,"$53,320.95 "
Direct > Direct > Direct > Organic Search > Direct,648,"$66,379.23 "
Organic Search > Direct > Other Advertising > Other Advertising,648,"$58,507.50 "
Paid Search > Paid Search > Display > Paid Search > Paid Search,644,"$59,772.06 "
Paid Search > Paid Search > Paid Search > Email,643,"$54,678.33 "
Paid Search > Display > Paid Search > Direct,642,"$66,859.24 "
Paid Search > Display > Organic Search,642,"$62,493.69 "
Organic Search > Direct > Display,641,"$61,659.44 "
Paid Search > Organic Search > Other Advertising > Other Advertising,640,"$60,015.98 "
Email > Email > Email > Direct > Direct,640,"$61,489.06 "
Organic Search > Direct > Organic Search > Organic Search,639,"$59,837.59 "
Email > Organic Search > Direct,638,"$63,531.48 "
Paid Search > Direct > Paid Search > Other Advertising,637,"$58,864.00 "
Paid Search > Paid Search > Paid Search > Display > Paid Search,636,"$57,609.05 "
Organic Search > Email > Direct,635,"$60,317.95 "
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,634,"$69,399.67 "
Paid Search > Paid Search > Other Advertising > Direct,628,"$60,909.13 "
Direct > Direct > Direct > Direct > Direct > Referral,627,"$72,278.76 "
Direct > Display > Other Advertising,626,"$59,352.62 "
Email > Other Advertising > Direct,625,"$63,941.62 "
Organic Search > Direct > Paid Search > Direct,624,"$66,474.51 "
Paid Search > Direct > Direct > Display,620,"$56,221.08 "
Direct > Other Advertising > Other Advertising > Direct,617,"$65,097.27 "
Paid Search > Other Advertising > Paid Search > Paid Search,615,"$52,661.99 "
Direct > Email > Other Advertising,615,"$59,899.78 "
Paid Search > Display > Other Advertising,612,"$56,037.63 "
Other Advertising > Direct > Direct > Direct > Direct,607,"$66,275.83 "
(unavailable) > Paid Search > Paid Search,600,"$59,360.52 "
Email > Email > Direct > Direct > Direct,600,"$68,545.03 "
Direct > Direct > Paid Search > Other Advertising,599,"$55,977.98 "
Email > Other Advertising > Email,599,"$57,394.83 "
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Direct,598,"$61,850.16 "
Direct > Direct > Organic Search > Other Advertising,597,"$65,569.13 "
Direct > Display > Direct > Direct > Direct > Direct,594,"$60,496.15 "
Paid Search > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,592,"$70,918.70 "
Direct > Referral > Direct > Direct > Direct,590,"$61,759.89 "
Display > Display > Paid Search,586,"$48,300.72 "
Direct > Direct > Email > Email,585,"$54,157.56 "
Paid Search > Direct > Direct > Direct > Other Advertising,584,"$63,550.40 "
Referral > Paid Search > Paid Search,582,"$50,732.74 "
Paid Search > Direct > Paid Search > Direct > Paid Search,578,"$62,302.39 "
Organic Search > Direct > Email,578,"$54,976.53 "
Paid Search > Direct > Paid Search > Paid Search > Paid Search > Paid Search,577,"$60,331.58 "
